cycle,gen0_bp,gen_x,gen_x_bp,growth,gen0_mos,gen_x_mos,gen0_kid_id,gen_x_kid_id
Cycle_01,40.4898188816618,19,51.17551716023666,10.685698278574861,0.1822241412449173,0.021036002891885616,35,5
Cycle_02,40.42469713406994,10,50.23420914556731,9.809512011497375,0.06177373135230396,0.1242890168078722,38,23
Cycle_03,42.45668324097806,17,47.0543772590655,4.597694018087438,0.060471234248533824,0.12605159918800055,9,15
Cycle_04,36.93826312673502,13,52.539587596517954,15.60132446978293,0.06977040532881695,0.26480093439461877,1,25
Cycle_05,44.36362313551114,14,54.24414609824929,9.880522962738148,0.06449298008174206,0.0817883663251037,7,29
Cycle_06,42.58721634926303,11,53.7086684388161,11.121452089553067,0.12028671586919566,0.11713279489798435,31,14
Cycle_07,38.84327751826438,16,49.44545210549997,10.602174587235588,0.029514970248175277,0.07677678681709975,5,39
Cycle_08,42.20015510417462,18,50.48946492355771,8.289309819383092,0.05179061637130746,0.05346748904352533,5,3
Cycle_09,41.470233147392435,7,48.253570593272194,6.783337445879759,0.18060875288221034,0.07357317018469758,5,9
Cycle_10,44.620021612892685,12,55.12973206752939,10.509710454636704,0.17302774438926655,0.11566112317600537,0,11
