cycle,gen0_bp,gen_x,gen_x_bp,growth,gen0_mos,gen_x_mos,gen0_kid_id,gen_x_kid_id
Cycle_01,37.98455164941265,19,44.1318029950866,6.147251345673951,0.12091364238516093,0.009050455110837434,12,21
Cycle_02,38.467365771689074,18,46.39465921450553,7.927293442816456,0.10474821805029788,5.150841887958172e-17,0,30
Cycle_03,40.27931620432197,17,43.858976547773295,3.579660343451323,0.03424993536134729,0.01152437269458788,30,30
Cycle_04,37.969936487846894,16,43.386607885466766,5.416671397619872,0.08466930749333838,0.08949759968870556,7,19
Cycle_05,37.70955128618451,18,43.20265751889959,5.4931062327150855,0.10662054373665522,0.07173183334614158,27,4
Cycle_06,38.13747221395559,17,42.42648956045953,4.28901734650394,0.09293886526127224,0.06576477240843613,29,33
Cycle_07,38.179634549708766,14,45.09597953882228,6.916344989113512,0.06997141746545801,0.17747542229933422,35,38
Cycle_08,37.79489263297098,18,39.883674413752495,2.0887817807815168,0.07757357624100271,0.20354436667005807,31,17
Cycle_09,38.60506892482808,18,41.13677698498245,2.531708060154365,0.025907141559141384,0.10546072650323168,36,5
Cycle_10,39.73748523321567,2,41.521649772912426,1.7841645396967536,0.0738592067231711,0.02863031915355541,17,23
