o,d,weight,o-point,d-point
1,2,3328,POINT (1658181.49180534 2459853.293099572),POINT (1659626.8012404467 2464242.803777061)
1,3,6152,POINT (1658181.49180534 2459853.293099572),POINT (1661405.5793056777 2456908.3164507747)
1,4,7969,POINT (1658181.49180534 2459853.293099572),POINT (1662850.8920629665 2461299.1141440207)
1,6,3404,POINT (1658181.49180534 2459853.293099572),POINT (1657998.8032089756 2458388.5582491476)
1,7,7269,POINT (1658181.49180534 2459853.293099572),POINT (1654775.8836842796 2461332.1387342606)
1,8,8332,POINT (1658181.49180534 2459853.293099572),POINT (1662835.5386839854 2453969.625854419)
1,10,86,POINT (1658181.49180534 2459853.293099572),POINT (1664813.4431026443 2455427.000799174)
1,11,7399,POINT (1658181.49180534 2459853.293099572),POINT (1652625.079284857 2462072.854377043)
1,13,4255,POINT (1658181.49180534 2459853.293099572),POINT (1654410.3575054067 2458403.129724644)
1,14,6503,POINT (1658181.49180534 2459853.293099572),POINT (1663375.6349768592 2454700.3706618594)
1,18,6983,POINT (1658181.49180534 2459853.293099572),POINT (1656212.7624518936 2462059.015437049)
1,20,792,POINT (1658181.49180534 2459853.293099572),POINT (1659245.4731233052 2453985.5353680085)
1,25,7319,POINT (1658181.49180534 2459853.293099572),POINT (1663733.2015865543 2453965.552701606)
1,26,8584,POINT (1658181.49180534 2459853.293099572),POINT (1654767.490305334 2457668.9670817074)
1,27,13211,POINT (1658181.49180534 2459853.293099572),POINT (1655855.6314743143 2462792.889223109)
1,30,1011,POINT (1658181.49180534 2459853.293099572),POINT (1660341.366815212 2462774.908002726)
1,31,6347,POINT (1658181.49180534 2459853.293099572),POINT (1658896.061524773 2458384.8194055464)
1,32,12158,POINT (1658181.49180534 2459853.293099572),POINT (1657118.1729124698 2465717.4248354533)
1,35,8856,POINT (1658181.49180534 2459853.293099572),POINT (1658340.2339511355 2450323.349246)
1,36,6710,POINT (1658181.49180534 2459853.293099572),POINT (1661413.4081947834 2460572.520402873)
1,37,7377,POINT (1658181.49180534 2459853.293099572),POINT (1659602.874838458 2453250.827533613)
1,41,7678,POINT (1658181.49180534 2459853.293099572),POINT (1657982.843703622 2451058.2375994315)
1,44,19547,POINT (1658181.49180534 2459853.293099572),POINT (1656935.4123992766 2464253.4885285133)
1,46,1192,POINT (1658181.49180534 2459853.293099572),POINT (1660325.5099030244 2455447.001469521)
1,47,4309,POINT (1658181.49180534 2459853.293099572),POINT (1661770.8068079464 2459838.2461524634)
1,50,4837,POINT (1658181.49180534 2459853.293099572),POINT (1654427.3646821268 2465727.658864678)
1,54,2711,POINT (1658181.49180534 2459853.293099572),POINT (1659444.1024279813 2462778.5812130263)
1,55,537,POINT (1658181.49180534 2459853.293099572),POINT (1662112.8999523178 2451773.0967701864)
1,56,5777,POINT (1658181.49180534 2459853.293099572),POINT (1661588.1884424435 2458373.3725051763)
