o,d,weight,o-point,d-point
1,2,114,POINT (1658181.49180534 2459853.293099572),POINT (1659626.8012404467 2464242.803777061)
1,3,202,POINT (1658181.49180534 2459853.293099572),POINT (1661405.5793056777 2456908.3164507747)
1,4,259,POINT (1658181.49180534 2459853.293099572),POINT (1662850.8920629665 2461299.1141440207)
1,6,116,POINT (1658181.49180534 2459853.293099572),POINT (1657998.8032089756 2458388.5582491476)
1,7,237,POINT (1658181.49180534 2459853.293099572),POINT (1654775.8836842796 2461332.1387342606)
1,8,270,POINT (1658181.49180534 2459853.293099572),POINT (1662835.5386839854 2453969.625854419)
1,10,12,POINT (1658181.49180534 2459853.293099572),POINT (1664813.4431026443 2455427.000799174)
1,11,241,POINT (1658181.49180534 2459853.293099572),POINT (1652625.079284857 2462072.854377043)
1,13,142,POINT (1658181.49180534 2459853.293099572),POINT (1654410.3575054067 2458403.129724644)
1,14,213,POINT (1658181.49180534 2459853.293099572),POINT (1663375.6349768592 2454700.3706618594)
1,18,228,POINT (1658181.49180534 2459853.293099572),POINT (1656212.7624518936 2462059.015437049)
1,20,343,POINT (1658181.49180534 2459853.293099572),POINT (1659245.4731233052 2453985.5353680085)
1,25,337,POINT (1658181.49180534 2459853.293099572),POINT (1663733.2015865543 2453965.552701606)
1,26,308,POINT (1658181.49180534 2459853.293099572),POINT (1654767.490305334 2457668.9670817074)
1,27,363,POINT (1658181.49180534 2459853.293099572),POINT (1655855.6314743143 2462792.889223109)
1,30,34,POINT (1658181.49180534 2459853.293099572),POINT (1660341.366815212 2462774.908002726)
1,31,372,POINT (1658181.49180534 2459853.293099572),POINT (1658896.061524773 2458384.8194055464)
1,32,238,POINT (1658181.49180534 2459853.293099572),POINT (1657118.1729124698 2465717.4248354533)
1,35,278,POINT (1658181.49180534 2459853.293099572),POINT (1658340.2339511355 2450323.349246)
1,36,41,POINT (1658181.49180534 2459853.293099572),POINT (1661413.4081947834 2460572.520402873)
1,37,208,POINT (1658181.49180534 2459853.293099572),POINT (1659602.874838458 2453250.827533613)
1,41,286,POINT (1658181.49180534 2459853.293099572),POINT (1657982.843703622 2451058.2375994315)
1,44,219,POINT (1658181.49180534 2459853.293099572),POINT (1656935.4123992766 2464253.4885285133)
1,46,375,POINT (1658181.49180534 2459853.293099572),POINT (1660325.5099030244 2455447.001469521)
1,47,240,POINT (1658181.49180534 2459853.293099572),POINT (1661770.8068079464 2459838.2461524634)
1,50,249,POINT (1658181.49180534 2459853.293099572),POINT (1654427.3646821268 2465727.658864678)
1,54,315,POINT (1658181.49180534 2459853.293099572),POINT (1659444.1024279813 2462778.5812130263)
1,55,47,POINT (1658181.49180534 2459853.293099572),POINT (1662112.8999523178 2451773.0967701864)
1,56,144,POINT (1658181.49180534 2459853.293099572),POINT (1661588.1884424435 2458373.3725051763)
1,57,161,POINT (1658181.49180534 2459853.293099572),POINT (1660142.901535302 2453981.615450602)
1,58,94,POINT (1658181.49180534 2459853.293099572),POINT (1658197.9787806557 2467177.72502701)
1,60,26,POINT (1658181.49180534 2459853.293099572),POINT (1656752.6611527195 2462789.3699414493)
1,61,190,POINT (1658181.49180534 2459853.293099572),POINT (1659420.271375408 2451785.1855175663)
1,70,354,POINT (1658181.49180534 2459853.293099572),POINT (1658165.4690105577 2452523.9183823587)
1,71,164,POINT (1658181.49180534 2459853.293099572),POINT (1664273.3183056274 2454696.295689075)
1,74,64,POINT (1658181.49180534 2459853.293099572),POINT (1663915.7393643525 2455431.0776172876)
1,76,355,POINT (1658181.49180534 2459853.293099572),POINT (1658173.422509744 2456189.223535813)
1,80,296,POINT (1658181.49180534 2459853.293099572),POINT (1661786.7090224046 2467163.5240463307)
1,81,257,POINT (1658181.49180534 2459853.293099572),POINT (1654950.2355049697 2459133.6711468953)
1,82,102,POINT (1658181.49180534 2459853.293099572),POINT (1663010.56009414 2451768.9906600956)
1,84,29,POINT (1658181.49180534 2459853.293099572),POINT (1657816.123803127 2456923.6411466766)
1,85,273,POINT (1658181.49180534 2459853.293099572),POINT (1654593.1160068512 2459867.725291204)
1,86,146,POINT (1658181.49180534 2459853.293099572),POINT (1662652.9924043706 2452503.9532126375)
1,87,124,POINT (1658181.49180534 2459853.293099572),POINT (1665353.5759720677 2456157.6680023796)
1,96,96,POINT (1658181.49180534 2459853.293099572),POINT (1656030.0163322194 2460594.640864351)
1,97,38,POINT (1658181.49180534 2459853.293099572),POINT (1653887.5361979557 2464997.446191963)
1,98,300,POINT (1658181.49180534 2459853.293099572),POINT (1655315.7534346976 2462062.5328618693)
1,99,175,POINT (1658181.49180534 2459853.293099572),POINT (1662318.7175154695 2464231.772386572)
1,100,293,POINT (1658181.49180534 2459853.293099572),POINT (1658705.4669808093 2453254.7457209425)
1,104,59,POINT (1658181.49180534 2459853.293099572),POINT (1659436.042688766 2459115.3518548245)
1,105,210,POINT (1658181.49180534 2459853.293099572),POINT (1657658.0717100643 2466447.593890173)
1,106,241,POINT (1658181.49180534 2459853.293099572),POINT (1656578.2823933482 2464987.2178923343)
1,107,63,POINT (1658181.49180534 2459853.293099572),POINT (1658880.2485855226 2451054.286208623)
1,109,318,POINT (1658181.49180534 2459853.293099572),POINT (1655672.8720236626 2461328.6231408794)
1,112,113,POINT (1658181.49180534 2459853.293099572),POINT (1658522.8459171155 2451789.1385785076)
1,114,215,POINT (1658181.49180534 2459853.293099572),POINT (1662843.1571609215 2457634.9882492125)
1,117,270,POINT (1658181.49180534 2459853.293099572),POINT (1654967.2014945885 2466457.833725207)
1,120,165,POINT (1658181.49180534 2459853.293099572),POINT (1659261.41288711 2461314.176278822)
1,121,17,POINT (1658181.49180534 2459853.293099572),POINT (1664638.3946025404 2457627.0151904216)
1,122,350,POINT (1658181.49180534 2459853.293099572),POINT (1654784.3928201438 2464994.075279517)
1,125,18,POINT (1658181.49180534 2459853.293099572),POINT (1662128.231170808 2459103.8993767397)
1,126,199,POINT (1658181.49180534 2459853.293099572),POINT (1660682.9363822544 2454712.3656211905)
1,127,331,POINT (1658181.49180534 2459853.293099572),POINT (1657292.5681206686 2463519.686624593)
1,128,132,POINT (1658181.49180534 2459853.293099572),POINT (1659960.3023152847 2452516.0471433084)
1,132,84,POINT (1658181.49180534 2459853.293099572),POINT (1664995.9724010811 2456892.377854039)
1,133,60,POINT (1658181.49180534 2459853.293099572),POINT (1655124.6488328124 2456934.7318678335)
1,137,260,POINT (1658181.49180534 2459853.293099572),POINT (1655864.099512502 2466454.4590000184)
1,138,361,POINT (1658181.49180534 2459853.293099572),POINT (1658713.399655639 2456919.8675194327)
1,139,217,POINT (1658181.49180534 2459853.293099572),POINT (1655490.1217823955 2459864.174869963)
1,140,276,POINT (1658181.49180534 2459853.293099572),POINT (1663550.6729945105 2452499.845342531)
1,143,123,POINT (1658181.49180534 2459853.293099572),POINT (1655132.989873493 2460598.1930824323)
1,144,78,POINT (1658181.49180534 2459853.293099572),POINT (1663193.0929509592 2453234.7718662852)
1,145,364,POINT (1658181.49180534 2459853.293099572),POINT (1659618.709598134 2460580.047646107)
1,152,198,POINT (1658181.49180534 2459853.293099572),POINT (1657641.543595553 2459122.7947879345)
1,153,110,POINT (1658181.49180534 2459853.293099572),POINT (1659086.8448384823 2463512.5288084573)
1,154,15,POINT (1658181.49180534 2459853.293099572),POINT (1660865.5405292376 2456177.6778649366)
1,155,127,POINT (1658181.49180534 2459853.293099572),POINT (1662310.845360219 2460568.699116179)
1,159,301,POINT (1658181.49180534 2459853.293099572),POINT (1656569.9191489704 2461325.069100564)
1,160,222,POINT (1658181.49180534 2459853.293099572),POINT (1653347.7160475263 2464267.195736542)
1,161,260,POINT (1658181.49180534 2459853.293099572),POINT (1653704.719396387 2463533.5403265734)
1,162,164,POINT (1658181.49180534 2459853.293099572),POINT (1663390.946910676 2462029.4912064886)
1,163,47,POINT (1658181.49180534 2459853.293099572),POINT (1661945.6262268345 2457638.9171975213)
1,165,124,POINT (1658181.49180534 2459853.293099572),POINT (1663558.1861956846 2456165.7870200397)
1,166,48,POINT (1658181.49180534 2459853.293099572),POINT (1660166.7658653143 2464973.0408146377)
1,168,247,POINT (1658181.49180534 2459853.293099572),POINT (1658721.4482376878 2460583.753606368)
1,171,147,POINT (1658181.49180534 2459853.293099572),POINT (1660698.688202246 2462040.851327951)
1,172,65,POINT (1658181.49180534 2459853.293099572),POINT (1659253.3849961753 2457650.473740088)
1,175,61,POINT (1658181.49180534 2459853.293099572),POINT (1666966.7191880175 2454683.8407865274)
1,177,127,POINT (1658181.49180534 2459853.293099572),POINT (1657475.3152736844 2464983.7314137076)
1,178,164,POINT (1658181.49180534 2459853.293099572),POINT (1658697.649964396 2449588.3883214933)
1,179,114,POINT (1658181.49180534 2459853.293099572),POINT (1653164.8951738689 2462803.2162116403)
1,180,318,POINT (1658181.49180534 2459853.293099572),POINT (1663383.2326757242 2458365.549245064)
1,183,189,POINT (1658181.49180534 2459853.293099572),POINT (1661246.7197617888 2466433.40097876)
1,187,287,POINT (1658181.49180534 2459853.293099572),POINT (1660873.3901306628 2459842.0655291583)
1,188,139,POINT (1658181.49180534 2459853.293099572),POINT (1659062.8562972285 2452520.001899742)
1,189,129,POINT (1658181.49180534 2459853.293099572),POINT (1659801.3857481158 2462044.5610874416)
1,190,92,POINT (1658181.49180534 2459853.293099572),POINT (1655324.242010476 2465724.286058564)
1,191,283,POINT (1658181.49180534 2459853.293099572),POINT (1662470.4552771682 2451038.098193027)
1,193,275,POINT (1658181.49180534 2459853.293099572),POINT (1657450.7924677369 2453993.260291947)
1,195,73,POINT (1658181.49180534 2459853.293099572),POINT (1656395.517797662 2463523.207788486)
1,196,132,POINT (1658181.49180534 2459853.293099572),POINT (1654061.748449569 2462799.812356256)
1,197,76,POINT (1658181.49180534 2459853.293099572),POINT (1659785.487432545 2454716.2872940414)
1,198,21,POINT (1658181.49180534 2459853.293099572),POINT (1661230.77641166 2459107.7552823774)
1,206,297,POINT (1658181.49180534 2459853.293099572),POINT (1656744.3821234605 2459126.458644443)
1,208,141,POINT (1658181.49180534 2459853.293099572),POINT (1659968.10918148 2456181.564772103)
1,214,171,POINT (1658181.49180534 2459853.293099572),POINT (1658530.7469627662 2455454.733369095)
1,216,379,POINT (1658181.49180534 2459853.293099572),POINT (1655307.3807267118 2458399.544436788)
1,220,278,POINT (1658181.49180534 2459853.293099572),POINT (1663368.1535643733 2451033.9555668784)
1,225,212,POINT (1658181.49180534 2459853.293099572),POINT (1662120.5074645393 2455439.1162238186)
1,227,264,POINT (1658181.49180534 2459853.293099572),POINT (1654244.551946963 2464263.8266923614)
1,231,74,POINT (1658181.49180534 2459853.293099572),POINT (1663208.3410565308 2460564.8393836333)
1,232,14,POINT (1658181.49180534 2459853.293099572),POINT (1661763.0305044434 2456173.752605095)
1,233,23,POINT (1658181.49180534 2459853.293099572),POINT (1659984.0711625577 2463508.8921524067)
1,234,95,POINT (1658181.49180534 2459853.293099572),POINT (1658538.7637957688 2459119.092525359)
1,235,215,POINT (1658181.49180534 2459853.293099572),POINT (1661238.6897912147 2462771.196305541)
1,236,78,POINT (1658181.49180534 2459853.293099572),POINT (1659793.3785258573 2458381.042168261)
